Video_Filename,Original_Caption,Adversarial_Caption,Feature_CosSim,SBERT_Sim,BERTScore_F1,Original_CLIPScore,Adversarial_CLIPScore,PSNR_dB,Linf_Norm,Processing_Time_Sec,Attack_Success,Strong_Attack,CLIPScore_Change,CLIPScore_Degraded,Attack_Quality,Action_Category,Timestamp,User,Epsilon
boxing_NLu0uhx_r5g_038.mp4,"In the video, we see a cartoon of a cat and a mouse. The cat is black and white, and it is sitting down. The mouse is also present in the video, and it is shown running away from the cat. The background of the video is a simple gray color. The video is only 8 seconds long, and there are no other objects or characters present in the video. The cat does not move or interact with the mouse in any way. The video is very short and does not have any sound or music. Overall, the video is a simple animation of a cat and a mouse, with no action or storyline.","In the video, we see a cartoon of a cat and a mouse. The cat is initially shown flying around on a screen, with the mouse looking on. Then, the scene changes to a room where the cat is sitting on top of a television, while the mouse is sitting on the floor. The cat is wearing a cape and looks like it is flying. The room is well-lit, and there are no other objects or characters present. The cat's movements are smooth and fluid, giving the impression that it is actually flying. The mouse, on the other hand, remains stationary and appears to be watching the cat's antics with interest. Overall, the video is a playful and whimsical depiction of a cat's imagined ability to fly, presented in a visually engaging way.",0.6993,0.8015,0.5803,2.95,0.0,26.41,0.100098,15.27,True,False,-2.95,True,Good,boxing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
boxing_NLu0uhx_r5g_043.mp4,"In the video, we see a cartoon of a cat and a mouse. The cat is black and white, and it is sitting down. The mouse is also present in the video, and it is shown running away from the cat. The background of the video is a simple gray color. The video is only 8 seconds long, and there are no other objects or characters present in the video. The cat does not move or interact with the mouse in any way. The video is very short and does not have any sound or music. Overall, the video is a simple animation of a cat and a mouse, with no action or storyline.","In the video, we see a cartoon of a cat and a mouse. The cat is initially shown flying around on a screen, with the mouse looking on. Then, the scene changes to a room where the cat is sitting on top of a television, while the mouse is sitting on the floor. The cat is wearing a cape and looks like it is flying. The room is well-lit, and there are no other objects or characters present. The cat's movements are smooth and fluid, giving the impression that it is actually flying. The mouse, on the other hand, remains stationary and appears to be watching the cat's antics with interest. Overall, the video is a playful and whimsical depiction of a cat's imagined ability to fly, presented in a visually engaging way.",0.6993,0.8015,0.5803,2.95,0.0,26.41,0.100098,12.88,True,False,-2.95,True,Good,boxing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
climbing_oHg5SJYRHA0_009.mp4,A young man in a suit is singing a song with a lot of emotion. He is holding a microphone and performing in front of a crowd. The background music is playing as he sings passionately.,A man in a brown suit is passionately singing a song while gesturing with his hands. He is standing in front of a blue background.,0.4867,0.7596,0.6472,5.41,3.68,26.78,0.100098,5.95,False,False,-1.73,True,Weak,climbing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
climbing_oHg5SJYRHA0_030.mp4,A young man in a suit is singing a song with a lot of emotion. He is holding a microphone and performing in front of a crowd. The background music is playing as he sings passionately.,A man in a brown suit is passionately singing a song while gesturing with his hands. He is standing in front of a blue background.,0.4867,0.7596,0.6472,5.41,3.68,26.78,0.100098,5.79,False,False,-1.73,True,Weak,climbing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
cooking_9bZkp7q19f0_003.mp4,"In the video, a woman is seen sitting on a subway train. She is wearing sunglasses and a bow tie. The woman is singing and performing in a theatrical manner. She seems to be entertaining the other passengers on the train.","A man wearing a black blazer, bow tie, and sunglasses is riding on a subway train. He is singing and dancing to the song 'Making It Rain' by Dram. The train is filled with passengers who are watching the man's performance.",0.5015,0.5808,0.5348,3.87,3.1,27.02,0.100098,7.82,True,False,-0.77,True,Good,cooking,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
cooking_9bZkp7q19f0_023.mp4,"In the video, a woman is seen sitting on a subway train. She is wearing sunglasses and a bow tie. The woman is singing and performing in a theatrical manner. She seems to be entertaining the other passengers on the train.","A man wearing a black blazer, bow tie, and sunglasses is riding on a subway train. He is singing and dancing to the song 'Making It Rain' by Dram. The train is filled with passengers who are watching the man's performance.",0.5015,0.5808,0.5348,3.87,3.1,27.02,0.100098,7.94,True,False,-0.77,True,Good,cooking,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
cooking_9bZkp7q19f0_032.mp4,"In the video, a woman is seen sitting on a subway train. She is wearing sunglasses and a bow tie. The woman is singing and performing in a theatrical manner. She seems to be entertaining the other passengers on the train.","A man wearing a black blazer, bow tie, and sunglasses is riding on a subway train. He is singing and dancing to the song 'Making It Rain' by Dram. The train is filled with passengers who are watching the man's performance.",0.5015,0.5808,0.5348,3.87,3.1,27.02,0.100098,7.79,True,False,-0.77,True,Good,cooking,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
cooking_9bZkp7q19f0_034.mp4,"In the video, a woman is seen sitting on a subway train. She is wearing sunglasses and a bow tie. The woman is singing and performing in a theatrical manner. She seems to be entertaining the other passengers on the train.","A man wearing a black blazer, bow tie, and sunglasses is riding on a subway train. He is singing and dancing to the song 'Making It Rain' by Dram. The train is filled with passengers who are watching the man's performance.",0.5015,0.5808,0.5348,3.87,3.1,27.02,0.100098,8.25,True,False,-0.77,True,Good,cooking,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
dancing_kJQP7kiw5Fk_026.mp4,"In the video, a man is seen enjoying the beach. He is standing near the water, looking out at the ocean. The scenery is beautiful with blue skies and waves crashing on the shore. The man seems relaxed and content, taking in the natural surroundings. It appears to be a sunny day as the sunlight reflects off the water. The man's expression is peaceful, and he seems to be lost in thought. The sound of the waves can be heard in the background, adding to the serene atmosphere. Overall, the video captures a moment of tranquility and connection with nature.","In the video, a man is seen sitting on a bench by the water. He is looking out at the ocean, lost in thought. Behind him, a group of people are dancing and having a good time. The music is playing in the background, and the atmosphere is lively. The man seems oblivious to the party happening right behind him. The scene is set against a beautiful backdrop of the ocean and the sky. It appears to be a warm and sunny day. The man's body language suggests that he is deep in contemplation, while the people behind him are enjoying themselves. Overall, it's a contrasting scene of solitude and celebration co-existing in the same frame.",0.5356,0.7523,0.5977,4.73,7.07,27.41,0.100098,13.08,True,False,2.34,False,Good,dancing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
dancing_kJQP7kiw5Fk_039.mp4,"In the video, a man is seen enjoying the beach. He is standing near the water, looking out at the ocean. The scenery is beautiful with blue skies and waves crashing on the shore. The man seems relaxed and content, taking in the natural surroundings. It appears to be a sunny day as the sunlight reflects off the water. The man's expression is peaceful, and he seems to be lost in thought. The sound of the waves can be heard in the background, adding to the serene atmosphere. Overall, the video captures a moment of tranquility and connection with nature.","In the video, a man is seen sitting on a bench by the water. He is looking out at the ocean, lost in thought. Behind him, a group of people are dancing and having a good time. The music is playing in the background, and the atmosphere is lively. The man seems oblivious to the party happening right behind him. The scene is set against a beautiful backdrop of the ocean and the sky. It appears to be a warm and sunny day. The man's body language suggests that he is deep in contemplation, while the people behind him are enjoying themselves. Overall, it's a contrasting scene of solitude and celebration co-existing in the same frame.",0.5356,0.7523,0.5977,4.73,7.07,27.41,0.100098,12.68,True,False,2.34,False,Good,dancing,2025-06-20 01:15:27,nofilsiddiqui-2000,0.05
